Product,AmazonPrice,FlipkartPrice
"iPhone 16 (Black, 128 GB)","₹72,490","₹69,999"
"iPhone 16 (Teal, 128 GB)","₹72,490","₹69,999"
"iPhone 16 (Black, 128 GB)","₹72,490","₹69,999"
"iPhone 16 (White, 128 GB)","₹72,490","₹69,999"
"iPhone 16 (Ultramarine, 128 GB)","₹72,490","₹69,999"
"iPhone 16 (Teal, 256 GB)","₹82,900","₹79,999"
"iPhone 16 (Black, 256 GB)","₹82,900","₹79,999"
"iPhone 16 (White, 256 GB)","₹82,900","₹79,999"
"iPhone 16 (Pink, 128 GB)","₹72,490","₹69,999"
"iPhone 16 (Ultramarine, 256 GB)","₹82,900","₹79,999"
"iPhone 16 (Ultramarine, 512 GB)","₹1,02,900","₹99,999"
"iPhone 16 Plus (Black, 256 GB)","₹92,900","₹89,999"
